,dzielnica,powierzchnia,lPokoi,powierzchniaDzialki,rodzajZabudowy,materialBudynku,rokBudowy,stanWykonczenia,okna,rynek,lPieter,cena
18,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,"134,20 m²",5,200 m²,szeregowiec,,2023,do wykończenia,plastikowe,pierwotny,1 piętro,589 000 zł
19,Dom na sprzedaż mazowieckie piaseczyński Warszawianka ,180 m²,5,500 m²,bliźniak,inne,2021,do wykończenia,plastikowe,pierwotny,0,749 000 zł
20,Dom na sprzedaż mazowieckie Warszawa Białołęka ul. Paavo Nurmiego ,120 m²,4,220 m²,szeregowiec,inne,1999,do zamieszkania,drewniane,wtórny,parterowy,880 000 zł
21,Dom na sprzedaż mazowieckie Warszawa Mokotów Sadyba ,320 m²,6,250 m²,bliźniak,,1991,,,wtórny,2 piętra,3 200 000 zł
22,Dom na sprzedaż mazowieckie grodziski Jaktorów ,110 m²,4,2 250 m²,wolnostojący,cegła,2008,,plastikowe,wtórny,0,675 000 zł
23,Dom na sprzedaż mazowieckie grodziski Chylice ,"142,48 m²",5,700 m²,bliźniak,pustak,2021,do wykończenia,plastikowe,pierwotny,1 piętro,740 000 zł
24,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,380 m²,9,1 659 m²,wolnostojący,,0,do zamieszkania,,wtórny,2 piętra,3 790 000 zł
25,Dom na sprzedaż mazowieckie Warszawa Wilanów ,400 m²,9,650 m²,bliźniak,cegła,2008,do zamieszkania,,wtórny,2 piętra,3 600 000 zł
26,Dom na sprzedaż mazowieckie Warszawa Praga-Południe Józefa Dwernickiego ,"208,30 m²",7,674 m²,wolnostojący,inne,2001,do zamieszkania,plastikowe,wtórny,2 piętra,1 999 777 zł
27,Dom na sprzedaż mazowieckie pruszkowski Młochów ,260 m²,5,1 465 m²,wolnostojący,inne,0,,,wtórny,0,920 000 zł
28,Dom na sprzedaż mazowieckie grodziski Milanówek ,320 m²,5,600 m²,wolnostojący,,1880,,,wtórny,2 piętra,890 000 zł
29,Dom na sprzedaż mazowieckie otwocki Otwock ,180 m²,6,1 200 m²,wolnostojący,cegła,1970,do zamieszkania,,wtórny,1 piętro,1 200 000 zł
30,Dom na sprzedaż mazowieckie piaseczyński Piaseczno Józefa Sułkowskiego ,132 m²,4,224 m²,szeregowiec,pustak,2021,do wykończenia,plastikowe,pierwotny,1 piętro,679 900 zł
31,Dom na sprzedaż mazowieckie sierpecki Sierpc ,100 m²,5,1 000 m²,wolnostojący,pustak,1978,do zamieszkania,plastikowe,wtórny,2 piętra,220 000 zł
32,Dom na sprzedaż mazowieckie wołomiński Radzymin ,160 m²,5,500 m²,wolnostojący,cegła,2021,do wykończenia,plastikowe,pierwotny,1 piętro,690 000 zł
33,Dom na sprzedaż mazowieckie miński Stara Niedziałka ,90 m²,2,3 700 m²,wolnostojący,inne,1982,,plastikowe,wtórny,parterowy,650 000 zł
34,Dom na sprzedaż mazowieckie pruszkowski Komorów ,420 m²,7,931 m²,wolnostojący,cegła,1996,,plastikowe,wtórny,1 piętro,1 500 000 zł
35,Dom na sprzedaż mazowieckie Radom ,148 m²,4,680 m²,wolnostojący,,2015,do zamieszkania,,wtórny,1 piętro,770 000 zł
36,Dom na sprzedaż mazowieckie piaseczyński Piaseczno ,380 m²,więcej niż 10,1 780 m²,,,0,,,wtórny,0,1 350 000 zł
37,Dom na sprzedaż mazowieckie legionowski Dosin ,"104,30 m²",4,400 m²,bliźniak,cegła,2021,,plastikowe,pierwotny,1 piętro,429 000 zł
38,Dom na sprzedaż mazowieckie piaseczyński Złotokłos ,130 m²,7,7 600 m²,wolnostojący,,1987,do remontu,plastikowe,wtórny,1 piętro,1 500 000 zł
39,Dom na sprzedaż mazowieckie Warszawa Białołęka Kobiałka ,185 m²,6,450 m²,,inne,2021,do wykończenia,,pierwotny,1 piętro,1 085 000 zł
40,Dom na sprzedaż mazowieckie Warszawa Wawer ,198 m²,5,0,bliźniak,,203,do zamieszkania,,wtórny,2 piętra,1 645 000 zł
41,Dom na sprzedaż mazowieckie Warszawa Mokotów Stegny ,300 m²,7,357 m²,szeregowiec,pustak,1993,,,wtórny,0,2 950 000 zł
42,Dom na sprzedaż mazowieckie Warszawa Białołęka Kobiałka ,"104,71 m²",3,30 m²,,inne,2021,do wykończenia,,pierwotny,1 piętro,637 500 zł
